,bartscore,number of Unique sentences,chapter-title,source
2642,-3.016685313648648,2,Kidnapped.chapter 10,sparknotes
2643,-3.1644658148288727,3,Kidnapped.chapter 11,sparknotes
2644,-3.113663298743112,5,Kidnapped.chapter 13,sparknotes
2645,-3.150442912028386,5,Kidnapped.chapter 14,sparknotes
2646,-3.0486907200379805,9,Kidnapped.chapter 16,sparknotes
2647,-3.240185896555583,4,Kidnapped.chapter 17,sparknotes
2648,-3.0855561036330004,6,Kidnapped.chapter 18,sparknotes
2649,-3.1064827992365913,4,Kidnapped.chapter 19,sparknotes
2650,-3.178077654838562,8,Kidnapped.chapter 20,sparknotes
2651,-3.150188982486725,10,Kidnapped.chapter 22,sparknotes
2652,-2.9733542799949646,6,Kidnapped.chapter 23,sparknotes
2653,-2.9991460707452564,7,Kidnapped.chapter 24,sparknotes
2654,-2.975769776564378,3,Kidnapped.chapter 25,sparknotes
2655,-3.2438646290037365,5,Kidnapped.chapter 26,sparknotes
2656,-3.068708521979196,5,Kidnapped.chapter 27,sparknotes
2657,-2.969414798418681,8,Kidnapped.chapter 28,sparknotes
2658,-2.9214913953434336,5,Kidnapped.chapter 29,sparknotes
2659,-3.2162152263853283,6,Kidnapped.chapter 30,sparknotes
2660,-3.053787903907972,4,Dr. Jekyll and Mr. Hyde.chapter 1,gradesaver
2661,-2.6564045266101233,5,Dr. Jekyll and Mr. Hyde.chapter 2,gradesaver
2662,-2.505043125152588,4,Dr. Jekyll and Mr. Hyde.chapter 3,gradesaver
2663,-3.065242936876085,5,Dr. Jekyll and Mr. Hyde.chapter 4,gradesaver
2664,-2.81691611872779,6,Dr. Jekyll and Mr. Hyde.chapter 5,gradesaver
2665,-2.7250226310321266,6,Dr. Jekyll and Mr. Hyde.chapter 6,gradesaver
2666,-3.083537667989731,2,Dr. Jekyll and Mr. Hyde.chapter 7,gradesaver
2667,-2.8987606327670314,6,Dr. Jekyll and Mr. Hyde.chapter 8,gradesaver
2668,-3.2821331280533985,6,Dr. Jekyll and Mr. Hyde.chapter 1,cliffnotes
2669,-3.0797642529385647,8,Dr. Jekyll and Mr. Hyde.chapter 2,cliffnotes
2670,-3.18082849515809,7,Dr. Jekyll and Mr. Hyde.chapter 3,cliffnotes
2671,-3.2176200561625983,5,Dr. Jekyll and Mr. Hyde.chapter 4,cliffnotes
2672,-2.948165691735452,5,Dr. Jekyll and Mr. Hyde.chapter 5,cliffnotes
2673,-3.1553518818873982,7,Dr. Jekyll and Mr. Hyde.chapter 6,cliffnotes
2674,-3.099542787109596,4,Dr. Jekyll and Mr. Hyde.chapter 7,cliffnotes
2675,-2.9950629262415855,9,Dr. Jekyll and Mr. Hyde.chapter 8,cliffnotes
2676,-3.498773514384955,5,Dr. Jekyll and Mr. Hyde.chapter 9,cliffnotes
2677,-3.2630208222440973,10,Dr. Jekyll and Mr. Hyde.chapter 10,cliffnotes
2678,-3.306418019227492,5,Dr. Jekyll and Mr. Hyde.chapter 1,sparknotes
2679,-2.8411801028669927,7,Dr. Jekyll and Mr. Hyde.chapter 2,sparknotes
2680,-2.829638095129104,4,Dr. Jekyll and Mr. Hyde.chapter 3,sparknotes
2681,-2.9492114276596992,5,Dr. Jekyll and Mr. Hyde.chapter 4,sparknotes
2682,-2.753701385524538,5,Dr. Jekyll and Mr. Hyde.chapter 5,sparknotes
2683,-2.8382506730064514,6,Dr. Jekyll and Mr. Hyde.chapter 6,sparknotes
2684,-2.992559574268482,5,Dr. Jekyll and Mr. Hyde.chapter 7,sparknotes
